Deaths (period 5x5), 	Last modified: 27 Aug 2026; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1921-1924        0             13810.50        18316.55        32127.05
AUS      1921-1924      1-4              4866.97         5961.93        10828.90
AUS      1921-1924      5-9              1844.76         2193.97         4038.73
AUS      1921-1924     10-14             1312.52         1696.05         3008.57
AUS      1921-1924     15-19             1794.75         2245.92         4040.67
AUS      1921-1924     20-24             2651.09         2756.92         5408.01
AUS      1921-1924     25-29             3264.37         3108.68         6373.05
AUS      1921-1924     30-34             3614.47         3669.66         7284.13
AUS      1921-1924     35-39             3910.58         4393.89         8304.47
AUS      1921-1924     40-44             3586.49         4944.88         8531.37
AUS      1921-1924     45-49             3897.59         5837.36         9734.95
AUS      1921-1924     50-54             4690.90         7162.70        11853.60
AUS      1921-1924     55-59             5424.18         8860.92        14285.10
AUS      1921-1924     60-64             6575.64        11080.47        17656.11
AUS      1921-1924     65-69             6986.81        10840.00        17826.81
AUS      1921-1924     70-74             6679.68         9355.26        16034.94
AUS      1921-1924     75-79             7281.97         8428.93        15710.90
AUS      1921-1924     80-84             6045.49         6395.34        12440.83
AUS      1921-1924     85-89             3889.63         3716.70         7606.33
AUS      1921-1924     90-94             1419.57         1314.27         2733.84
AUS      1921-1924     95-99              386.16          287.49          673.65
AUS      1921-1924    100-104              46.03           48.07           94.10
AUS      1921-1924    105-109               1.00            4.00            5.00
AUS      1921-1924    110+                  0.00            2.00            2.00
AUS      1925-1929        0             15227.42        20235.50        35462.92
AUS      1925-1929      1-4              5611.87         6666.45        12278.32
AUS      1925-1929      5-9              2053.32         2642.54         4695.86
AUS      1925-1929     10-14             1548.21         2112.04         3660.25
AUS      1925-1929     15-19             2254.38         3119.07         5373.45
AUS      1925-1929     20-24             3397.53         3772.66         7170.19
AUS      1925-1929     25-29             3920.62         3957.87         7878.49
AUS      1925-1929     30-34             4311.69         4414.27         8725.96
AUS      1925-1929     35-39             5106.80         5691.50        10798.30
AUS      1925-1929     40-44             5059.81         6679.48        11739.29
AUS      1925-1929     45-49             5495.87         8069.81        13565.68
AUS      1925-1929     50-54             6097.96         9434.14        15532.10
AUS      1925-1929     55-59             7404.18        11647.24        19051.42
AUS      1925-1929     60-64             9344.49        14856.32        24200.81
AUS      1925-1929     65-69            11238.78        17038.54        28277.32
AUS      1925-1929     70-74            11159.76        15557.20        26716.96
AUS      1925-1929     75-79            10056.58        12524.19        22580.77
AUS      1925-1929     80-84             8494.36         8765.40        17259.76
AUS      1925-1929     85-89             5343.82         4872.71        10216.53
AUS      1925-1929     90-94             2017.31         1698.66         3715.97
AUS      1925-1929     95-99              587.07          410.37          997.44
AUS      1925-1929    100-104              56.01           59.02          115.03
AUS      1925-1929    105-109               7.00           12.00           19.00
AUS      1925-1929    110+                  0.00            4.00            4.00
AUS      1930-1934        0             10684.55        14137.23        24821.78
