Deaths (period 5x10), 	Last modified: 27 Aug 2026; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1921-1929        0             29037.92        38552.05        67589.97
AUS      1921-1929      1-4             10478.84        12628.38        23107.22
AUS      1921-1929      5-9              3898.08         4836.51         8734.59
AUS      1921-1929     10-14             2860.73         3808.09         6668.82
AUS      1921-1929     15-19             4049.13         5364.99         9414.12
AUS      1921-1929     20-24             6048.62         6529.58        12578.20
AUS      1921-1929     25-29             7184.99         7066.55        14251.54
AUS      1921-1929     30-34             7926.16         8083.93        16010.09
AUS      1921-1929     35-39             9017.38        10085.39        19102.77
AUS      1921-1929     40-44             8646.30        11624.36        20270.66
AUS      1921-1929     45-49             9393.46        13907.17        23300.63
AUS      1921-1929     50-54            10788.86        16596.84        27385.70
AUS      1921-1929     55-59            12828.36        20508.16        33336.52
AUS      1921-1929     60-64            15920.13        25936.79        41856.92
AUS      1921-1929     65-69            18225.59        27878.54        46104.13
AUS      1921-1929     70-74            17839.44        24912.46        42751.90
AUS      1921-1929     75-79            17338.55        20953.12        38291.67
AUS      1921-1929     80-84            14539.85        15160.74        29700.59
AUS      1921-1929     85-89             9233.45         8589.41        17822.86
AUS      1921-1929     90-94             3436.88         3012.93         6449.81
AUS      1921-1929     95-99              973.23          697.86         1671.09
AUS      1921-1929    100-104             102.04          107.09          209.13
AUS      1921-1929    105-109               8.00           16.00           24.00
AUS      1921-1929    110+                  0.00            6.00            6.00
AUS      1930-1939        0             20565.97        27307.75        47873.72
AUS      1930-1939      1-4              7780.74         9245.81        17026.55
AUS      1930-1939      5-9              3447.31         4733.88         8181.19
AUS      1930-1939     10-14             2614.24         3918.34         6532.58
AUS      1930-1939     15-19             4043.37         5717.43         9760.80
AUS      1930-1939     20-24             5992.60         7217.32        13209.92
AUS      1930-1939     25-29             6890.62         7233.38        14124.00
AUS      1930-1939     30-34             7107.69         7498.53        14606.22
AUS      1930-1939     35-39             8623.85         9387.62        18011.47
AUS      1930-1939     40-44             9752.95        12095.32        21848.27
AUS      1930-1939     45-49            12143.14        16572.78        28715.92
AUS      1930-1939     50-54            14078.32        20910.33        34988.65
AUS      1930-1939     55-59            16007.47        25277.84        41285.31
AUS      1930-1939     60-64            20573.89        30803.29        51377.18
AUS      1930-1939     65-69            27083.50        37998.57        65082.07
AUS      1930-1939     70-74            31451.90        41922.64        73374.54
AUS      1930-1939     75-79            31216.75        37694.65        68911.40
AUS      1930-1939     80-84            22472.94        24402.97        46875.91
AUS      1930-1939     85-89            13226.20        11561.74        24787.94
AUS      1930-1939     90-94             4984.39         3604.14         8588.53
AUS      1930-1939     95-99             1310.14          854.49         2164.63
AUS      1930-1939    100-104             143.00          115.08          258.08
AUS      1930-1939    105-109              11.00           20.01           31.01
AUS      1930-1939    110+                  1.00            2.00            3.00
AUS      1940-1949        0             21635.40        28755.03        50390.43
AUS      1940-1949      1-4              5718.32         7193.70        12912.02
AUS      1940-1949      5-9              2343.10         3337.75         5680.85
AUS      1940-1949     10-14             1783.16         2786.65         4569.81
AUS      1940-1949     15-19             2598.13         4489.08         7087.21
AUS      1940-1949     20-24             4004.19         4977.25         8981.44
AUS      1940-1949     25-29             5148.29         5034.23        10182.52
AUS      1940-1949     30-34             5803.39         5918.43        11721.82
AUS      1940-1949     35-39             6804.40         7806.88        14611.28
AUS      1940-1949     40-44             8317.51        10689.62        19007.13
AUS      1940-1949     45-49            11770.71        16064.97        27835.68
AUS      1940-1949     50-54            16469.08        23811.82        40280.90
AUS      1940-1949     55-59            20463.40        33107.24        53570.64
AUS      1940-1949     60-64            26041.77        41256.39        67298.16
AUS      1940-1949     65-69            32328.24        46069.58        78397.82
AUS      1940-1949     70-74            39873.67        48841.10        88714.77
AUS      1940-1949     75-79            44546.05        49211.11        93757.16
AUS      1940-1949     80-84            38327.66        38033.49        76361.15
AUS      1940-1949     85-89            22738.72        19555.98        42294.70
AUS      1940-1949     90-94             7478.53         5279.37        12757.90
